,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
0,LID.GOV-CD,,NA,2062.9300000000003
1,LIDERANÇA DO PSDB,,NA,25511.38
2,LIDERANÇA DO PT,,NA,74499.27999999997
3,PDT,,NA,38400.0
4,PODE,,NA,19398.85
5,PROS,,NA,13500.0
6,PSD,,NA,24055.0
7,PSOL,,NA,1046.0
8,PTB,,NA,8910.14
9,SDD,,NA,14281.43
10,SILVIO COSTA,AVANTE,PE,40609.72999999998
11,IZALCI LUCAS,PSDB,DF,31064.469999999998
12,DANILO FORTE,PSDB,CE,43131.07
13,MARIA HELENA,MDB,RR,41977.669999999984
14,NORMA AYUB,DEM,ES,93175.21999999997
15,FAUSTO PINATO,PP,SP,135358.62000000005
16,IRACEMA PORTELLA,PP,PI,118137.04000000001
17,JÚLIA MARINHO,PSC,PA,20475.56
18,FÁBIO HENRIQUE,PDT,SE,111903.16999999998
19,BACELAR,PODE,BA,108787.39000000003
20,FELIPE CARRERAS,PSB,PE,17380.52999999998
21,CELSO PANSERA,PT,RJ,35804.02999999999
22,SIMÃO SESSIM,PP,RJ,30300.03
23,ARLINDO CHINAGLIA,PT,SP,51066.089999999975
24,ARNALDO FARIA DE SÁ,PP,SP,4291.749999999999
25,BETO MANSUR,MDB,SP,38015.72999999999
26,CELSO RUSSOMANNO,PRB,SP,97093.03000000001
27,ALEX CANZIANI,PTB,PR,22161.259999999995
28,GUSTAVO FRUET,PDT,PR,25471.62999999999
29,OSMAR SERRAGLIO,PP,PR,32418.820000000007
30,RUBENS BUENO,CIDADANIA,PR,125124.55000000009
31,HENRIQUE FONTANA,PT,RS,151152.02000000028
32,LUIS CARLOS HEINZE,PP,RS,22105.75
33,POMPEO DE MATTOS,PDT,RS,129379.09
34,IVAN VALENTE,PSOL,SP,98044.99000000002
35,JORGE TADEU MUDALEN,DEM,SP,37012.66000000001
36,NELSON MARQUEZELLI,PTB,SP,36856.26999999999
37,SILVIO TORRES,PSDB,SP,17620.31
38,CELSO JACOB,MDB,RJ,35780.96000000001
39,ALBERTO FRAGA,DEM,DF,30643.56
40,ANTONIO CARLOS MENDES THAME,PV,SP,16232.689999999999
41,JÚLIO DELGADO,PSB,MG,122268.54000000039
42,RUI FALCÃO,PT,SP,82544.88000000002
43,AUGUSTO CARVALHO,SOLIDARIEDADE,DF,18052.530000000002
44,JOVAIR ARANTES,PTB,GO,28375.34
45,ROBERTO BALESTRA,PP,GO,5891.770000000001
46,OSMAR TERRA,MDB,RS,386.61
47,ANGELA AMIN,PP,SC,79869.15000000001
48,BENEDITA DA SILVA,PT,RJ,123311.73000000004
49,JOSÉ REINALDO,PSDB,MA,40357.84
50,CESAR SOUZA,PSD,SC,14282.289999999999
51,DILCEU SPERAFICO,PP,PR,20224.59
52,HERMES PARCIANELLO,MDB,PR,69160.17999999995
53,LUIZ CARLOS HAULY,PSDB,PR,21231.07
54,NELSON MEURER,PP,PR,35196.72
55,RICARDO BARROS,PP,PR,124882.53
56,RENILDO CALHEIROS,PCdoB,PE,54052.06999999999
57,SÉRGIO BRITO,PSD,BA,91087.46000000004
58,DARCÍSIO PERONDI,MDB,RS,158359.92000000013
59,JANETE CAPIBERIBE,PSB,AP,34496.6
60,WLADIMIR COSTA,SOLIDARIEDADE,PA,38324.59
61,ZÉ GERALDO,PT,PA,38981.76
62,PERPÉTUA ALMEIDA,PCdoB,AC,81282.12999999999
63,YEDA CRUSIUS,PSDB,RS,12936.639999999998
64,VALDIR COLATTO,MDB,SC,25682.23000000001
65,PAULO FEIJÓ,PR,RJ,35075.08
66,BENJAMIN MARANHÃO,MDB,PB,38421.1
67,LUIZ COUTO,PT,PB,30207.790000000008
68,WELLINGTON ROBERTO,PL,PB,185624.1500000002
69,WILSON SANTIAGO,PTB,PB,76304.99000000002
70,MAURÍCIO QUINTELLA LESSA,PR,AL,24393.65
71,BOSCO COSTA,PL,SE,76078.08000000003
72,ALICE PORTUGAL,PCdoB,BA,149953.02000000022
73,DANIEL ALMEIDA,PCdoB,BA,153799.71000000005
74,ELCIONE BARBALHO,MDB,PA,88543.99000000009
75,GIOVANNI QUEIROZ,PDT,PA,14475.32
76,JOSÉ PRIANTE,MDB,PA,143493.93000000017
77,ÁTILA LINS,PP,AM,162300.53000000003
78,PAUDERNEY AVELINO,DEM,AM,20899.769999999997
79,JOSÉ CARLOS ARAÚJO,PR,BA,28179.17
80,JOSIAS GOMES,PT,BA,91825.14000000001
81,LEONARDO MONTEIRO,PT,MG,160137.28000000026
82,MÁRIO HERINGER,PDT,MG,127859.27000000002
83,ODAIR CUNHA,PT,MG,97875.15999999993
84,PATRUS ANANIAS,PT,MG,144081.0800000003
85,REGINALDO LOPES,PT,MG,112549.27000000002
86,CARLOS MANATO,PSL,ES,29998.449999999997
87,CHICO ALENCAR,PSOL,RJ,4116.139999999999
88,DELEY,PTB,RJ,32629.299999999996
89,MARINHA RAUPP,MDB,RO,40067.79
90,FREIRE JÚNIOR,MDB,TO,27582.27
91,GASTÃO VIEIRA,PROS,MA,42321.28
92,SARNEY FILHO,PV,MA,1.25
93,ANÍBAL GOMES,DEM,CE,43205.180000000015
94,ANTONIO BALHMANN,PDT,CE,28612.190000000006
95,RAIMUNDO GOMES DE MATOS,PSDB,CE,41823.62
96,MARCUS VICENTE,PP,ES,20681.79
97,JULIO LOPES,PP,RJ,18778.739999999998
98,LEONARDO PICCIANI,MDB,RJ,28626.789999999994
99,CARLOS SAMPAIO,PSDB,SP,132299.03999999986
100,GILBERTO NASCIMENTO,PSC,SP,119883.65000000002
101,JEFFERSON CAMPOS,PSB,SP,110817.89000000001
102,JOSÉ MENTOR,PT,SP,34779.01
103,LOBBE NETO,PSDB,SP,15433.510000000002
104,VICENTINHO,PT,SP,89119.03000000003
105,LEÔNIDAS CRISTINO,PDT,CE,118392.32000000017
106,ROBERTO PESSOA,PSDB,CE,109269.38000000002
107,VICENTE ARRUDA,PR,CE,25948.23
108,JÚLIO CESAR,PSD,PI,181658.73000000013
109,PAES LANDIM,PTB,PI,42239.98
110,JOSUÉ BENGTSON,PTB,PA,41606.40000000001
111,NILSON PINTO,PSDB,PA,106645.9
112,SILAS CÂMARA,PRB,AM,192313.6600000001
113,NILTON CAPIXABA,PTB,RO,41567.48
114,JOÃO CAMPOS,PRB,GO,132385.7
115,RUBENS OTONI,PT,GO,124152.82999999993
116,SANDES JÚNIOR,PP,GO,35020.26
117,VANDER LOUBET,PT,MS,182039.18000000002
118,ASSIS DO COUTO,PDT,PR,35311.18
119,GIACOBO,PL,PR,131659.58000000007
120,TAKAYAMA,PSC,PR,20523.6
121,JORGE BOEIRA,PP,SC,887.3699999999999
122,JOSÉ OTÁVIO GERMANO,PP,RS,37557.01000000001
123,MARIA DO ROSÁRIO,PT,RS,176525.90000000002
124,ONYX LORENZONI,DEM,RS,0.01
125,PAULO PIMENTA,PT,RS,120247.94999999995
126,GONZAGA PATRIOTA,PSB,PE,158432.7400000002
127,MENDONÇA FILHO,DEM,PE,38194.94
128,WOLNEY QUEIROZ,PDT,PE,111500.7500000001
129,PEDRO FERNANDES,PTB,MA,32809.25
130,ÁTILA LIRA,PSB,PI,128602.07
131,MARCELO CASTRO,MDB,PI,27612.37999999999
132,DAMIÃO FELICIANO,PDT,PB,179136.21000000034
133,MARCONDES GADELHA,PSC,PB,39287.46
134,ANDRÉ DE PAULA,PSD,PE,120885.70999999995
135,LUCIANO BIVAR,PSL,PE,66054.23
136,BENITO GAMA,PTB,BA,36877.030000000006
137,CLAUDIO CAJADO,PP,BA,108762.10999999999
138,JOSÉ CARLOS ALELUIA,DEM,BA,37263.01
139,JOSÉ ROCHA,PL,BA,145544.8500000002
140,GIVALDO CARIMBÃO,AVANTE,AL,38165.409999999996
141,JUTAHY JUNIOR,PSDB,BA,8771.59
142,NELSON PELLEGRINO,PT,BA,154379.5300000002
143,PAULO MAGALHÃES,PSD,BA,23820.50000000002
144,LINCOLN PORTELA,PL,MG,143706.8100000001
145,AÉCIO NEVES,PSDB,MG,74686.65000000005
146,BONIFÁCIO DE ANDRADA,DEM,MG,9271.109999999999
147,CARLOS MELLES,DEM,MG,32545.12000000001
148,EDUARDO BARBOSA,PSDB,MG,86057.11000000002
149,JAIME MARTINS,PROS,MG,36172.15000000001
150,LUIZ SÉRGIO,PT,RJ,15282.83
151,RODRIGO MAIA,DEM,RJ,34922.22000000001
152,MAURO LOPES,MDB,MG,129535.92000000004
153,SARAIVA FELIPE,MDB,MG,17227.339999999986
154,LUIZA ERUNDINA,PSOL,SP,85012.54000000008
155,MILTON MONTI,PR,SP,26666.259999999995
156,PEDRO CHAVES,MDB,GO,13060.31
157,AROLDE DE OLIVEIRA,PSD,RJ,28962.109999999993
158,JANDIRA FEGHALI,PCdoB,RJ,128089.40000000005
159,LAURA CARNEIRO,DEM,RJ,30595.35
160,MIRO TEIXEIRA,REDE,RJ,509.67
161,MAURÍCIO DZIEDRICKI,PTB,RS,104088.10999999986
162,MARCELO MATOS,PSD,RJ,15058.07
163,MARCELO FREIXO,PSOL,RJ,108323.81000000007
164,MÁRCIO JERRY,PCdoB,MA,67157.93999999999
165,DRA. SORAYA MANATO,PSL,ES,64914.25999999999
166,LUANA COSTA,PSC,MA,31773.379999999997
167,PEDRO AUGUSTO BEZERRA,PTB,CE,72469.76000000002
168,SANTINI,PTB,RS,63555.23000000001
169,LEUR LOMANTO JÚNIOR,DEM,BA,98256.98999999999
170,EDUARDO BOLSONARO,PSL,SP,80984.70999999998
171,FERNANDO MONTEIRO,PP,PE,150637.09000000008
172,STEFANO AGUIAR,PSD,MG,76576.68000000005
173,CACÁ LEÃO,PP,BA,133785.43
174,CRISTIANE BRASIL,PTB,RJ,32731.089999999997
175,LUCIO VIEIRA LIMA,MDB,BA,8361.76
176,HERÁCLITO FORTES,DEM,PI,31420.339999999997
177,LAFAYETTE DE ANDRADA,PRB,MG,65484.59999999998
178,ERIVELTON SANTANA,PATRI,BA,36204.27000000001
179,CABUÇU BORGES,MDB,AP,39955.85
180,GLEISI HOFFMANN,PT,PR,128324.8499999999
181,JAQUELINE CASSOL,PP,RO,67902.45000000003
182,BENES LEOCÁDIO,PRB,RN,60956.77999999998
183,JOÃO MARCELO SOUZA,MDB,MA,181635.61000000007
184,VALMIR PRASCIDELLI,PT,SP,24423.78
185,JOSI NUNES,PROS,TO,37295.48999999999
186,GELSON AZEVEDO,PL,RJ,104279.4600000001
187,DARCI DE MATOS,PSD,SC,114188.80000000002
188,MARCELO SQUASSONI,PRB,SP,22282.479999999996
189,ADRIANO DO BALDY,PP,GO,86268.56000000019
190,PEDRO PAULO,DEM,RJ,128344.88999999997
191,RONALDO MARTINS,PRB,CE,37179.89
192,PEDRO LUCAS FERNANDES,PTB,MA,124282.49
193,GABRIEL GUIMARÃES,PT,MG,12093.279999999999
194,GORETE PEREIRA,PR,CE,42397.18000000001
195,JARBAS VASCONCELOS,MDB,PE,37909.02999999998
196,ENIO VERRI,PT,PR,180739.79000000027
197,MARCO MAIA,PT,RS,34880.62
198,ANDRÉ FIGUEIREDO,PDT,CE,178588.7600000001
199,MARCELO MORAES,PTB,RS,52648.77000000001
200,PAULO RAMOS,PDT,RJ,20327.46
201,EDMILSON RODRIGUES,PSOL,PA,153222.72000000026
202,CRISTIANO VALE,PL,PA,88785.55000000008
203,AFONSO HAMM,PP,RS,99077.52999999994
204,VICENTINHO JÚNIOR,PL,TO,188392.44000000015
205,LÍDICE DA MATA,PSB,BA,83016.62000000001
206,BETO FARO,PT,PA,172883.64000000025
207,AELTON FREITAS,PR,MG,29050.56
208,ANTONIO BULHÕES,PRB,SP,36415.8
209,VALADARES FILHO,PSB,SE,41356.22
210,INDIO DA COSTA,PSD,RJ,35694.340000000004
211,ARNALDO JARDIM,CIDADANIA,SP,104703.89000000009
212,BRUNO ARAÚJO,PSDB,PE,35700.359999999986
213,CARLOS ZARATTINI,PT,SP,100060.23000000007
214,CARLOS BEZERRA,MDB,MT,47010.869999999995
215,CELSO MALDANER,MDB,SC,127491.44999999995
216,CLEBER VERDE,PRB,MA,170346.00000000012
217,DAGOBERTO NOGUEIRA,PDT,MS,162368.2100000002
218,DÉCIO LIMA,PT,SC,39946.51
219,EDIO LOPES,PL,RR,185225.19000000047
220,EDUARDO DA FONTE,PP,PE,89419.39000000007
221,EFRAIM FILHO,DEM,PB,81009.55999999997
222,FÁBIO RAMALHO,MDB,MG,89575.06999999996
223,FÁBIO FARIA,PSD,RN,151077.95000000013
224,FELIPE MAIA,DEM,RN,7071.069999999999
225,FELIPE BORNIER,PROS,RJ,-1675.0600000000002
226,FERNANDO COELHO FILHO,DEM,PE,112329.07
227,FLAVIANO MELO,MDB,AC,181185.58000000013
228,CHICO D'ANGELO,PDT,RJ,121416.46000000004
229,CHICO LOPES,PCdoB,CE,36899.99000000001
230,GEORGE HILTON,PSC,MG,24278.289999999997
231,PEPE VARGAS,PT,RS,17239.32
232,HUGO LEAL,PSD,RJ,127062.72000000009
233,ALFREDO KAEFER,PP,PR,28354.42
234,JOÃO CARLOS BACELAR,PL,BA,140674.9300000001
235,JOÃO MAIA,PL,RN,103462.89000000013
236,JOSÉ AIRTON FÉLIX CIRILO,PT,CE,180777.3600000001
237,JOSÉ GUIMARÃES,PT,CE,166353.77000000005
238,RICARDO TRIPOLI,PSDB,SP,19573.170000000002
239,JULIÃO AMIN,PDT,MA,36308.25
240,LAERTE BESSA,PR,DF,31416.75
241,LÁZARO BOTELHO,PP,TO,35622.01
242,LEONARDO QUINTÃO,MDB,MG,24502.949999999993
243,LINDOMAR GARÇON,PRB,RO,43743.53
244,LUIZ FERNANDO FARIA,PP,MG,34770.920000000006
245,PAULO TEIXEIRA,PT,SP,184635.78000000014
246,MARCOS MONTES,PSD,MG,17136.23
247,JÔ MORAES,PCdoB,MG,32295.03999999999
248,MAURO MARIANI,MDB,SC,14360.99
249,MAURO NAZIF,PSB,RO,48463.929999999986
250,MIGUEL CORRÊA,PT,MG,25474.659999999996
251,BILAC PINTO,DEM,MG,172330.14000000022
252,OTAVIO LEITE,PSDB,RJ,1153.55
253,PAULO ABI-ACKEL,PSDB,MG,156078.46000000002
254,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,SP,93882.89999999997
255,RAUL HENRY,MDB,PE,80527.22000000004
256,RENATO MOLLING,PP,RS,472.32
257,ROBERTO BRITTO,PP,BA,13183.93
258,RODRIGO DE CASTRO,PSDB,MG,135326.2400000001
259,ROGÉRIO MARINHO,PSDB,RN,10001.490000000002
260,SÉRGIO MORAES,PTB,RS,8374.769999999999
261,VALTENIR PEREIRA,MDB,MT,71213.9900000003
262,VANDERLEI MACRIS,PSDB,SP,140662.60000000012
263,VINICIUS CARVALHO,PRB,SP,112062.32999999991
264,WALDIR MARANHÃO,PSDB,MA,8416.789999999999
265,WALTER IHOSHI,PSD,SP,27761.839999999997
266,LELO COIMBRA,MDB,ES,17635.989999999998
267,TIAGO DIMAS,SOLIDARIEDADE,TO,102362.69000000002
268,DOMINGOS NETO,PSD,CE,182062.11000000025
269,DANIEL VILELA,MDB,GO,33424.64
270,NERI GELLER,PP,MT,122771.17000000007
271,MARCELO ARO,PP,MG,100703.43000000012
272,PROFESSOR VICTÓRIO GALLI,PSL,MT,33868.119999999995
273,MÁRCIO MARINHO,PRB,BA,121037.38999999998
274,LAERCIO OLIVEIRA,PP,SE,102236.24000000006
275,GLAUBER BRAGA,PSOL,RJ,110360.64000000039
276,ROBERTO ALVES,PRB,SP,152157.81000000026
277,MILTON VIEIRA,PRB,SP,64087.36999999999
278,MARCEL VAN HATTEM,NOVO,RS,15079.649999999994
279,TÚLIO GADÊLHA,PDT,PE,55421.18999999999
280,ASSIS CARVALHO,PT,PI,57878.009999999995
281,MARCUS PESTANA,PSDB,MG,35239.35
282,ROGÉRIO ROSSO,PSD,DF,31136.649999999998
283,AFONSO FLORENCE,PT,BA,148756.57000000007
284,JORGINHO MELLO,PR,SC,13006.55
285,LUIS TIBÉ,AVANTE,MG,59001.329999999994
286,ALESSANDRO MOLON,PSB,RJ,109409.97000000013
287,AUREO RIBEIRO,SOLIDARIEDADE,RJ,100709.93999999997
288,RONALDO BENEDET,MDB,SC,22956.539999999994
289,PAULO FOLETTO,PSB,ES,37746.13000000001
290,WELITON PRADO,PROS,MG,53603.780000000035
291,AGUINALDO RIBEIRO,PP,PB,115641.58
292,DANILO CABRAL,PSB,PE,72409.13
293,ANTONIO IMBASSAHY,PSDB,BA,47449.62
294,JHONATAN DE JESUS,PRB,RR,213537.85000000018
295,ELI CORRÊA FILHO,DEM,SP,118427.36
296,LAURIETE,PL,ES,42367.52999999999
297,MARCON,PT,RS,121310.08999999998
298,MARCO TEBALDI,PSDB,SC,37769.42999999999
299,BOHN GASS,PT,RS,135935.3300000001
300,ARTHUR LIRA,PP,AL,97614.71
301,ANDRE MOURA,PSC,SE,39745.77
302,JUNJI ABE,MDB,SP,28746.150000000005
303,ALEXANDRE LEITE,DEM,SP,60287.879999999976
304,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,113192.27999999994
305,ANTONIO BRITO,PSD,BA,130259.25999999995
306,PADRE JOÃO,PT,MG,119606.80000000009
307,PAULO FREIRE COSTA,PL,SP,127059.45999999993
308,ALCEU MOREIRA,MDB,RS,143263.7700000002
309,MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP,36327.44999999999
310,MARA GABRILLI,PSDB,SP,25520.230000000003
311,WALDENOR PEREIRA,PT,BA,124029.25999999994
312,JERÔNIMO GOERGEN,PP,RS,120651.05000000005
313,JOÃO RODRIGUES,PSD,SC,15064.669999999998
314,JORGE CÔRTE REAL,PTB,PE,10645.989999999996
315,JOÃO ARRUDA,MDB,PR,17923.76
316,ERIKA KOKAY,PT,DF,126822.18
317,CÉSAR HALUM,PRB,TO,44325.670000000006
318,EDMAR ARRUDA,PSD,PR,33478.56
319,ALBERTO FILHO,PP,MA,41151.30999999999
320,FÁBIO TRAD,PSD,MS,60033.75999999994
321,DIEGO ANDRADE,PSD,MG,76775.47
322,BRUNA FURLAN,PSDB,SP,72733.55000000002
323,VINICIUS GURGEL,PL,AP,173599.01000000015
324,ZECA DIRCEU,PT,PR,110878.37999999986
325,HEULER CRUVINEL,PP,GO,35526.08
326,FLÁVIA MORAIS,PDT,GO,101280.68000000001
327,DIMAS FABIANO,PP,MG,116733.80999999907
328,ARTHUR OLIVEIRA MAIA,DEM,BA,155153.71000000014
329,PR. MARCO FELICIANO,PODE,SP,145727.1500000002
330,ARNALDO JORDY,PPS,PA,39722.15999999999
331,PEDRO UCZAI,PT,SC,119268.25000000004
332,JOSE STÉDILE,PSB,RS,30717.870000000003
333,VALMIR ASSUNÇÃO,PT,BA,143763.06000000003
334,TONINHO PINHEIRO,PP,MG,13302.409999999996
335,SERGIO ZVEITER,DEM,RJ,8573.310000000001
336,SIBÁ MACHADO,PT,AC,43059.73999999999
337,THIAGO PEIXOTO,PSD,GO,12391.46
338,JOSÉ NUNES,PSD,BA,155637.80000000025
339,SANDRO ALEX,PSD,PR,38317.83
340,VICENTE CANDIDO,PT,SP,36048.76
341,LUCIANA SANTOS,PCdoB,PE,0.49
342,SÁGUAS MORAES,PT,MT,18064.44
343,WALNEY ROCHA,PATRI,RJ,35771.93
344,ZÉ SILVA,SOLIDARIEDADE,MG,152571.0300000001
345,MANDETTA,DEM,MS,0.6
346,RUY CARNEIRO,PSDB,PB,109359.82999999999
347,WILSON FILHO,PTB,PB,38232.78
348,RONALDO FONSECA,PODE,DF,23265.3
349,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,101035.52999999987
350,EROS BIONDINI,PROS,MG,128683.40000000011
351,PROFESSORA MARCIVANIA,PCdoB,AP,185379.69000000015
352,PASTOR EURICO,PATRI,PE,95326.94000000006
353,DR. JORGE SILVA,SOLIDARIEDADE,ES,23271.58
354,LUIZ CARLOS,PSDB,AP,144623.84000000008
355,DELEGADO FRANCISCHINI,PSL,PR,35903.78
356,ESPERIDIÃO AMIN,PP,SC,16211.469999999998
357,ROGÉRIO PENINHA MENDONÇA,MDB,SC,111722.48000000001
358,ROBERTO DE LUCENA,PODE,SP,152548.3900000001
359,RENZO BRAZ,PP,MG,102.71000000000001
360,RICARDO IZAR,PP,SP,143743.51000000027
361,KEIKO OTA,PSB,SP,8770.240000000002
362,MARCELO AGUIAR,DEM,SP,34922.52
363,LEOPOLDO MEYER,PSB,PR,769.0999999999999
364,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,138140.20000000004
365,FÉLIX MENDONÇA JÚNIOR,PDT,BA,138888.78000000012
366,GUILHERME MUSSI,PP,SP,96703.76000000002
367,GENECIAS NORONHA,SOLIDARIEDADE,CE,87495.84999999999
368,JEAN WYLLYS,PSOL,RJ,7090.0199999999995
369,GIOVANI CHERINI,PL,RS,85897.46999999991
370,HUGO MOTTA,PRB,PB,123258.2
371,FERNANDO TORRES,PSD,BA,37818.82
372,FRANCISCO FLORIANO,DEM,RJ,35806.05000000001
373,DOMINGOS SÁVIO,PSDB,MG,129209.03000000001
374,TIRIRICA,PL,SP,34423.66000000001
375,EMIDINHO MADEIRA,PSB,MG,48181.490000000034
376,LUIZ NISHIMORI,PL,PR,118239.87999999999
377,RONALDO NOGUEIRA,PTB,RS,42072.570000000014
378,DELEGADO WALDIR,PSL,GO,38801.91
379,CARMEN ZANOTTO,CIDADANIA,SC,93170.58
380,NILSON LEITÃO,PSDB,MT,35497.05999999999
381,MAGDA MOFATTO,PL,GO,112752.57000000002
382,WEVERTON ROCHA,PDT,MA,26683.509999999995
383,MARCOS ROGÉRIO,DEM,RO,32091.139999999996
384,SIMPLÍCIO ARAÚJO,SOLIDARIEDADE,MA,2736.05
385,PAULÃO,PT,AL,113479.06000000003
386,MARGARIDA SALOMÃO,PT,MG,116754.47000000007
387,RENATO ANDRADE,PP,MG,36517.64
388,FABIO REIS,MDB,SE,167319.29000000007
389,SUBTENENTE GONZAGA,PDT,MG,114751.64000000029
390,LUIZ CARLOS RAMOS,PR,RJ,35712.82000000001
391,LEO DE BRITO,PT,AC,17998.970000000005
392,MAJOR OLIMPIO,PSL,SP,32300.219999999998
393,EVANDRO GUSSI,PV,SP,26845.589999999997
394,CAPITÃO AUGUSTO,PL,SP,176793.86000000016
395,DR. SINVAL MALHEIROS,PODE,SP,37109.83
396,ANDRÉ ABDON,PP,AP,147323.05000000008
397,LEANDRE,PV,PR,85469.47000000002
398,ALEXANDRE SERFIOTIS,PSD,RJ,111747.76
399,BEBETO,PSB,BA,39822.37000000002
400,AFONSO MOTTA,PDT,RS,133496.78
401,ALAN RICK,DEM,AC,143182.53000000003
402,ANGELIM,PT,AC,19222.63
403,CÉSAR MESSIAS,PSB,AC,14836.389999999996
404,JÉSSICA SALES,MDB,AC,186271.91000000006
405,ROCHA,PSDB,AC,2.5300000000000002
406,CÍCERO ALMEIDA,PHS,AL,14895.34
407,JHC,PSB,AL,153038.65000000008
408,MARX BELTRÃO,PSD,AL,169425.32000000007
409,PEDRO VILELA,PSDB,AL,1141.03
410,RONALDO LESSA,PDT,AL,23699.39
411,ALFREDO NASCIMENTO,PR,AM,23850.1
412,CONCEIÇÃO SAMPAIO,PSDB,AM,12766.22
413,HISSA ABRAHÃO,PDT,AM,41163.81999999999
414,JOZI ARAÚJO,PODE,AP,41743.869999999995
415,MARCOS REATEGUI,PSD,AP,39633.939999999995
416,CAETANO,PT,BA,32299.3
417,ELMAR NASCIMENTO,DEM,BA,142961.46000000014
418,IRMÃO LAZARO,PSC,BA,31741.25
419,JOÃO GUALBERTO,PSDB,BA,7911.859999999999
420,JORGE SOLLA,PT,BA,155662.49999999988
421,MÁRIO NEGROMONTE JR.,PP,BA,111982.60000000003
422,PAULO AZI,DEM,BA,92486.41000000005
423,RONALDO CARLETTO,PP,BA,173627.3200000003
424,TIA ERON,PRB,BA,33833.28
425,ULDURICO JUNIOR,PROS,BA,167174.08000000013
426,ADAIL CARNEIRO,PODE,CE,42249.14000000001
427,CABO SABINO,AVANTE,CE,24787.87
428,LUIZIANNE LINS,PT,CE,145642.1500000001
429,MACEDO,PP,CE,42862.05
430,ODORICO MONTEIRO,PSB,CE,44160.76000000002
431,VITOR VALIM,PROS,CE,6843.33
432,RÔNEY NEMER,PP,DF,2182.9799999999996
433,EVAIR VIEIRA DE MELO,PP,ES,145003.98000000019
434,GIVALDO VIEIRA,PCdoB,ES,22563.7
435,HELDER SALOMÃO,PT,ES,116066.40000000011
436,SERGIO VIDIGAL,PDT,ES,131511.68000000008
437,CÉLIO SILVEIRA,PSDB,GO,140052.59000000014
438,FÁBIO SOUSA,PSDB,GO,4686.409999999999
439,GIUSEPPE VECCI,PSDB,GO,33218.240000000005
440,LUCAS VERGILIO,SOLIDARIEDADE,GO,123859.44000000002
441,MARCOS ABRÃO,PPS,GO,34567.14
442,ALUISIO MENDES,PODE,MA,103824.54000000002
443,ANDRÉ FUFUCA,PP,MA,108982.00000000003
444,ELIZIANE GAMA,PPS,MA,28557.76
445,HILDO ROCHA,MDB,MA,190031.7600000001
446,JUNIOR MARRECA,PATRI,MA,39327.35999999999
447,JUSCELINO FILHO,DEM,MA,111316.79000000005
