,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
114,GERALDO RESENDE,PSDB,MS,474979.06000000035
115,VANDER LOUBET,PT,MS,485765.4900000004
116,ASSIS DO COUTO,PDT,PR,430039.7599999999
117,GIACOBO,PL,PR,461613.49999999936
118,TAKAYAMA,PSC,PR,361615.85000000015
119,JORGE BOEIRA,PP,SC,63173.23
120,JOSÉ OTÁVIO GERMANO,PP,RS,487453.8499999992
121,MARIA DO ROSÁRIO,PT,RS,486900.02000000054
122,ONYX LORENZONI,DEM,RS,340754.3799999992
123,PAULO PIMENTA,PT,RS,473909.6099999993
124,GONZAGA PATRIOTA,PSB,PE,471306.0599999994
125,MENDONÇA FILHO,DEM,PE,325442.19999999984
126,WOLNEY QUEIROZ,PDT,PE,492533.3800000023
127,PEDRO FERNANDES,PTB,MA,510477.0699999993
128,ÁTILA LIRA,PSB,PI,449396.94999999943
129,MARCELO CASTRO,MDB,PI,373216.86999999906
130,DAMIÃO FELICIANO,PDT,PB,401963.6799999996
131,MARCONDES GADELHA,PSC,PB,304482.4799999998
132,ANDRÉ DE PAULA,PSD,PE,337973.8299999992
133,CARLOS EDUARDO CADOCA,PDT,PE,103985.10000000002
134,LUCIANO BIVAR,PSL,PE,79980.94999999992
135,BENITO GAMA,PTB,BA,476080.40000000084
136,CLAUDIO CAJADO,PP,BA,355542.7199999998
137,JOSÉ CARLOS ALELUIA,DEM,BA,450831.2200000003
138,JOSÉ ROCHA,PL,BA,336242.03999999986
139,GIVALDO CARIMBÃO,AVANTE,AL,484069.3400000004
140,JUTAHY JUNIOR,PSDB,BA,306219.47000000026
141,NELSON PELLEGRINO,PT,BA,416942.5900000041
142,PAULO MAGALHÃES,PSD,BA,389166.15000000043
143,LINCOLN PORTELA,PL,MG,431738.1800000003
144,BONIFÁCIO DE ANDRADA,DEM,MG,338846.3399999996
145,CARLOS MELLES,DEM,MG,438302.3600000008
146,EDUARDO BARBOSA,PSDB,MG,273876.7099999991
147,JAIME MARTINS,PROS,MG,424264.5600000005
148,LUIZ SÉRGIO,PT,RJ,377335.11999999953
149,RODRIGO MAIA,DEM,RJ,106004.35999999997
150,MAURO LOPES,MDB,MG,432349.3700000002
151,SARAIVA FELIPE,MDB,MG,325920.1999999988
152,LUIZA ERUNDINA,PSOL,SP,340521.90999999945
153,MILTON MONTI,PR,SP,403875.4799999996
154,PEDRO CHAVES,MDB,GO,258751.58999999973
155,AROLDE DE OLIVEIRA,PSD,RJ,394475.8899999994
156,JAIR BOLSONARO,PSL,RJ,160296.99000000005
157,JANDIRA FEGHALI,PCdoB,RJ,432623.16999999934
158,LAURA CARNEIRO,DEM,RJ,428770.8399999996
