,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
0,LID.GOV-CD,,NA,4954.4
1,LIDERANÇA DO PSDB,,NA,155565.04000000007
2,LIDERANÇA DO PT,,NA,283454.7400000001
3,PDT,,NA,84208.07
4,PHS,,NA,3697.21
5,PROS,,NA,56299.95999999999
6,PSOL,,NA,28664.22
7,PTN,,NA,7930.369999999999
8,SDD,,NA,59784.12
9,SILVIO COSTA,AVANTE,PE,509356.7199999999
10,IZALCI LUCAS,PSDB,DF,370266.23000000033
11,DANILO FORTE,PSDB,CE,509565.9400000006
12,MARIA HELENA,MDB,RR,517763.15000000066
13,FAUSTO PINATO,PP,SP,451507.76999999944
14,IRACEMA PORTELLA,PP,PI,413063.6899999998
15,JÚLIA MARINHO,PSC,PA,351507.1300000001
16,BACELAR,PODE,BA,462602.99000000034
17,CELSO PANSERA,PT,RJ,209912.79000000024
18,SIMÃO SESSIM,PP,RJ,425206.30000000057
19,ARLINDO CHINAGLIA,PT,SP,455030.58999999997
20,ARNALDO FARIA DE SÁ,PP,SP,360360.0600000004
21,BETO MANSUR,MDB,SP,395002.020000001
22,CELSO RUSSOMANNO,PRB,SP,228481.01999999967
23,EDINHO ARAÚJO,MDB,SP,261892.4500000003
24,ALEX CANZIANI,PTB,PR,439744.76999999967
25,OSMAR SERRAGLIO,PP,PR,470230.1000000003
26,RUBENS BUENO,CIDADANIA,PR,317433.72000000015
27,HENRIQUE FONTANA,PT,RS,479891.65000000014
28,LUIS CARLOS HEINZE,PP,RS,331837.0599999995
29,POMPEO DE MATTOS,PDT,RS,488860.4799999996
30,IVAN VALENTE,PSOL,SP,280391.41000000027
31,JORGE TADEU MUDALEN,DEM,SP,292427.4700000013
32,NELSON MARQUEZELLI,PTB,SP,450225.3300000002
33,SILVIO TORRES,PSDB,SP,309328.74000000017
34,CELSO JACOB,MDB,RJ,406109.66999999905
35,ALBERTO FRAGA,DEM,DF,383994.7799999997
36,ANTONIO CARLOS MENDES THAME,PV,SP,294082.09000000043
37,JÚLIO DELGADO,PSB,MG,436918.36999999324
38,MAURO BENEVIDES,MDB,CE,74749.25000000003
39,AUGUSTO CARVALHO,SOLIDARIEDADE,DF,368224.8700000001
40,JOVAIR ARANTES,PTB,GO,403793.11999999994
41,ROBERTO BALESTRA,PP,GO,391874.7899999991
42,OSMAR TERRA,MDB,RS,159161.68999999994
43,BENEDITA DA SILVA,PT,RJ,290351.16000000003
44,JOSÉ REINALDO,PSDB,MA,495610.76000000024
45,CESAR SOUZA,PSD,SC,28438.36
46,DILCEU SPERAFICO,PP,PR,334622.2599999994
47,HERMES PARCIANELLO,MDB,PR,448314.81000000046
48,LUIZ CARLOS HAULY,PSDB,PR,422595.4299999994
49,NELSON MEURER,PP,PR,457208.0399999955
50,REINHOLD STEPHANES,PSD,PR,18912.130000000005
51,RICARDO BARROS,PP,PR,157531.73000000004
52,EDINHO BEZ,MDB,SC,430210.23999999993
53,ROBERTO FREIRE,PPS,SP,291850.4299999998
54,SÉRGIO BRITO,PSD,BA,479191.82000000024
55,TAMPINHA,PSD,MT,310372.79999999993
56,DARCÍSIO PERONDI,MDB,RS,488964.7600000006
57,JANETE CAPIBERIBE,PSB,AP,517760.20999999944
58,WLADIMIR COSTA,SOLIDARIEDADE,PA,484549.5899999999
59,ZÉ GERALDO,PT,PA,500774.80000000034
60,VALDIR COLATTO,MDB,SC,390046.4799999992
61,PAULO FEIJÓ,PR,RJ,433384.6199999995
62,FÁTIMA BEZERRA,PT,RN,-21.49
63,BENJAMIN MARANHÃO,MDB,PB,498986.1199999997
64,LUIZ COUTO,PT,PB,307676.60000000027
65,WELLINGTON ROBERTO,PL,PB,502157.5899999999
66,RAUL JUNGMANN,PPS,PE,177362.93999999992
67,MAURÍCIO QUINTELLA LESSA,PR,AL,101074.07
68,BOSCO COSTA,PL,SE,156476.19000000026
