,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
113,TAKAYAMA,PSC,PR,435397.1400000012
114,JORGE BOEIRA,PP,SC,118486.7900000002
115,JOSÉ OTÁVIO GERMANO,PP,RS,480504.9699999996
116,MARIA DO ROSÁRIO,PT,RS,483835.1100000013
117,ONYX LORENZONI,DEM,RS,484964.2099999986
118,PAULO PIMENTA,PT,RS,477646.94999999995
119,GONZAGA PATRIOTA,PSB,PE,480452.1600000003
120,MENDONÇA FILHO,DEM,PE,2567.14
121,WOLNEY QUEIROZ,PDT,PE,489954.5800000012
122,PEDRO FERNANDES,PTB,MA,514959.0399999997
123,ÁTILA LIRA,PSB,PI,437088.3300000003
124,MARCELO CASTRO,MDB,PI,445271.14000000065
125,DAMIÃO FELICIANO,PDT,PB,420524.7000000005
126,ANDRÉ DE PAULA,PSD,PE,418415.5399999997
127,CARLOS EDUARDO CADOCA,PDT,PE,427430.39999999985
128,LUCIANO BIVAR,PSL,PE,128362.35999999999
129,BENITO GAMA,PTB,BA,482751.5000000004
130,CLAUDIO CAJADO,PP,BA,375470.3399999998
131,JOSÉ CARLOS ALELUIA,DEM,BA,472889.90000000055
132,JOSÉ ROCHA,PL,BA,318255.17999999935
133,GIVALDO CARIMBÃO,AVANTE,AL,484481.4400000004
134,JUTAHY JUNIOR,PSDB,BA,334019.89999999985
135,NELSON PELLEGRINO,PT,BA,449873.81000000314
136,PAULO MAGALHÃES,PSD,BA,426139.0699999997
137,LINCOLN PORTELA,PL,MG,429794.6400000004
138,MARCOS MEDRADO,PODE,BA,80779.23999999992
139,BONIFÁCIO DE ANDRADA,DEM,MG,398761.98
140,CARLOS MELLES,DEM,MG,453626.1799999986
141,EDUARDO BARBOSA,PSDB,MG,440497.5399999996
142,JAIME MARTINS,PROS,MG,442661.08000000025
143,LUIZ SÉRGIO,PT,RJ,369594.3600000004
144,RODRIGO MAIA,DEM,RJ,332326.1900000005
145,MAURO LOPES,MDB,MG,413046.36
146,SARAIVA FELIPE,MDB,MG,428970.19999999984
147,LUIZA ERUNDINA,PSOL,SP,369974.4699999995
148,MILTON MONTI,PR,SP,439883.60999999946
149,PEDRO CHAVES,MDB,GO,297819.5099999999
150,AROLDE DE OLIVEIRA,PSD,RJ,405409.28999999934
151,JAIR BOLSONARO,PSL,RJ,222949.18999999968
152,JANDIRA FEGHALI,PCdoB,RJ,430267.06999999966
153,LAURA CARNEIRO,DEM,RJ,441348.2599999998
154,MIRO TEIXEIRA,REDE,RJ,239996.37999999942
155,MARCELO MATOS,PSD,RJ,389477.32999999885
156,IRAJÁ ABREU,PSD,TO,468420.97000000003
157,LUANA COSTA,PSC,MA,505790.8700000004
158,RODRIGO GARCIA,DEM,SP,2532.0400000000004
159,ROBINSON ALMEIDA,PT,BA,266141.4999999999
160,EDUARDO BOLSONARO,PSL,SP,303143.40999999974
161,FERNANDO MONTEIRO,PP,PE,468748.93999999965
162,STEFANO AGUIAR,PSD,MG,431919.83000000025
163,CACÁ LEÃO,PP,BA,468463.20999999985
164,CRISTIANE BRASIL,PTB,RJ,456837.6799999996
165,LUCIO VIEIRA LIMA,MDB,BA,342801.6499999996
166,HERÁCLITO FORTES,DEM,PI,464395.19
167,ERIVELTON SANTANA,PATRI,BA,454512.0599999997
168,DAVIDSON MAGALHÃES,PCdoB,BA,439967.7800000003
169,CABUÇU BORGES,MDB,AP,514977.49000000017
170,JOÃO MARCELO SOUZA,MDB,MA,509523.4499999998
171,VALMIR PRASCIDELLI,PT,SP,443140.22000000026
172,JOSI NUNES,PROS,TO,476590.36000000016
173,MARCELO SQUASSONI,PRB,SP,449952.52999999997
174,PEDRO PAULO,DEM,RJ,438141.7799999997
175,RONALDO MARTINS,PRB,CE,505929.00999999995
176,MAURO PEREIRA,MDB,RS,385458.0199999993
177,GABRIEL GUIMARÃES,PT,MG,422602.73000000004
178,GORETE PEREIRA,PR,CE,518955.2399999995
179,JARBAS VASCONCELOS,MDB,PE,490498.3099999997
180,JOSÉ FOGAÇA,MDB,RS,227994.31999999977
181,PAULO MALUF,PP,SP,440419.3099999996
182,ENIO VERRI,PT,PR,472311.18000000034
183,MARCO MAIA,PT,RS,487440.06000000203
184,ADEMIR CAMILO,MDB,MG,435004.069999999
185,ANDRÉ FIGUEIREDO,PDT,CE,505678.3999999997
186,EDMILSON RODRIGUES,PSOL,PA,498535.6399999994
187,AFONSO HAMM,PP,RS,401013.70000000036
188,VICENTINHO JÚNIOR,PL,TO,480623.22999999986
189,BETO FARO,PT,PA,504417.81999999925
190,AELTON FREITAS,PR,MG,426956.23999999923
191,ANTONIO BULHÕES,PRB,SP,431329.7900000001
192,VALADARES FILHO,PSB,SE,492994.2599999995
193,INDIO DA COSTA,PSD,RJ,-904.5500000000001
194,ARNALDO JARDIM,CIDADANIA,SP,5.95
195,BRUNO ARAÚJO,PSDB,PE,64913.94000000001
196,CARLOS ZARATTINI,PT,SP,454970.5400000001
197,CARLOS BEZERRA,MDB,MT,470985.5900000002
198,CELSO MALDANER,MDB,SC,472066.8000000008
199,CLEBER VERDE,PRB,MA,520695.7399999998
200,DAGOBERTO NOGUEIRA,PDT,MS,515457.2999999998
201,DÉCIO LIMA,PT,SC,476627.36000000034
202,EDIO LOPES,PL,RR,556688.399999998
203,EDUARDO DA FONTE,PP,PE,286575.19999999896
204,EFRAIM FILHO,DEM,PB,506542.49
205,FÁBIO RAMALHO,MDB,MG,400365.2199999999
206,FÁBIO FARIA,PSD,RN,511718.68999999994
